Augastes.scutatus	Campylopterus.largipennis	Chorostilbon.lucidus	Colibri.serrirostris	Eupetomena.macroura	Phaethornis.pretrei
Acritopappus.longifolius	0	0	0	0	0	0
Aechmea.bromelioides	0	2	0	0	0	2
Agalinis.angustifolia	19	17	0	0	0	2
Agarista.cariifolia	0	0	0	0	0	0
Barbacenia.flava	0	0	0	2	0	0
Barbacenia.gentianoides	0	0	0	0	0	1
Barbacenia.luzilifolia	0	5	0	0	0	5
Bilbergia.amoena	0	0	0	0	7	4
Bilbergia.vittata	0	0	0	0	0	3
Calolisianthus.pendulus	0	0	0	3	0	0
Cipocereus.minensis	0	2	0	0	0	0
Cronopappus.bifrons	0	0	3	0	0	0
Cuphea.ericoides	0	0	0	0	0	0
Dyckia.sp	0	12	0	0	0	0
Encholirium.subsecundum	0	18	0	4	0	0
Eremanthus.crotonoides	30	0	0	12	0	0
Eremanthus.erythropappus	114	0	0	0	0	0
Erythroxylum.vaccinifolium	9	0	0	0	0	0
Esterhazya.splendida	0	8	0	3	0	0
Gaylussacia.brasiliensis	0	0	0	0	0	0
Gaylussacia.oleifolia	0	82	16	0	0	0
Gaylussacua.hispida	0	0	0	0	0	0
Hillia.parasitica	0	0	0	0	0	0
Hololepis.pedunculata	16	3	0	48	0	88
Hypitis.sp1	138	0	0	0	0	0
Laplaceae.fruticosa	19	0	0	0	0	0
Lepidaploa.sp.1	50	0	0	0	0	0
Lessigianthus.roseus	8	0	0	0	0	0
Lobelia.fistulosa	0	148	0	156	43	64
Malvaceae.sp.1	74	0	0	0	0	0
Myrcia.lasiantha	0	0	0	0	0	0
Nemathanthus.strigillosus	97	0	0	0	0	0
Neoregelia.bahiana	0	6	0	0	0	1
Paliavana.sericiflora	0	3	0	0	0	1
Pilosocereus.aurisetus	5	18	0	0	0	8
Pipitoletis.leptosmermoides	18	0	0	0	0	0
Protium.sp	9	0	0	0	0	0
Psychotria.vellosiana	52	0	0	0	5	0
Rhodophiala.cipoana	0	0	0	0	0	1
Siphocampylus.fimbriatus	0	0	0	0	0	6
Stachytarpheta.glabra	230	0	0	0	0	0
Stachytarpheta.mexie	38	0	2	0	0	0
Tillandsia.gardnere	0	0	6	0	0	0
Trixis.vauthieri	0	0	0	0	0	0
Velloziam.cf.epidendroides	24	0	0	0	0	0
Vernonanthura.phosphorica	9	0	0	0	0	0
Vochysia.emarginata	54	0	284	0	0	0
Vochysia.sp.1	0	0	0	0	0	0
Vriesea.medusa	0	1	0	0	0	0
Vriesea.procera.procera	0	1	0	0	0	2
Vrisea.procera.tenuies	0	5	0	0	0	21
