A.fimbriata	A.versicolor	E.macroura	F.fusca	G.hirsutus	H.cyanus	L.chalybeus	P.ruber	P.squalidus	R.naevius	T.glaucopis
A.coelestis	0	0	0	0	0	0	0	0	0	6	0
A.distichantha	2	0	0	0	0	0	0	1	0	16	6
A.nudicaulis	20	0	0	0	0	0	0	0	0	0	8
A.pectinata	7	0	0	1	0	0	0	0	0	10	1
B.pyramidalis	0	0	0	0	0	0	0	0	0	16	0
B.edulis	0	0	0	0	0	0	0	1	0	0	0
B.antiacantha	4	3	2	1	0	0	0	0	0	0	1
C.seidelii	3	0	0	0	0	0	0	19	2	12	9
C.cornutus	0	0	0	0	2	0	0	0	2	0	1
D.pinnata	0	3	0	1	0	0	0	0	0	4	3
E.pentaphylla	39	35	1	0	0	0	1	0	1	36	30
E.speciosa	1	3	0	0	0	0	0	18	0	32	0
H.angusta	0	0	0	0	0	0	0	0	0	11	0
I.walleriana	0	0	0	0	0	0	0	7	0	0	0
I.subnuda	21	15	0	15	0	0	1	0	0	0	13
M.speciosa	13	0	0	0	0	0	0	28	0	0	3
N.fissus	0	0	0	0	0	0	0	7	0	0	2
N.fluminensis	0	0	0	0	0	0	0	0	0	7	0
N.angustifolium	0	0	0	0	0	0	0	0	0	2	0
N.innocentii	0	0	0	0	0	0	0	0	0	4	0
P.dichrous	2	10	0	1	0	0	0	0	0	0	3
P.nuda	0	0	0	0	0	0	0	16	0	2	11
S.grisea	0	0	0	0	0	0	0	1	0	0	1
S.brasiliensis	4	11	1	84	0	5	0	0	0	0	10
S.cayennensis	0	0	0	0	0	0	0	1	0	0	0
T.geminiflora	2	8	0	0	0	0	0	0	0	0	3
V.ensiformis	0	0	0	0	0	0	0	0	0	2	0
V.procera	28	0	0	0	0	0	0	1	0	1	0
