Amazilia.versicolor	Anthracothorax.nigricollis	Aphantochroa.cirrhochloris	Chlorostilbon.lucidus	Clytolaema.rubricauda	Florisuga.fusca	Leucochloris.albicollis	Lophornis.chalybea	Phaethornis.eurynome	Phaethornis.squalidus	Rhamphodon.naevius	Thalurania.glaucopis
Aechmea.coelestis	0	0	0	0	0	0	0	0	0	3	6	9
Aechmea.nudicaulis	4	0	0	0	0	0	0	0	0	0	1	3
Aechmea.ornata	0	0	0	0	0	0	0	0	0	13	0	0
Aechmea.pectinata	0	0	0	0	0	1	0	0	0	0	1	14
Callatea.comunis	1	0	0	0	0	0	0	0	0	0	1	0
Canistropisis.bilbergioides	0	0	0	0	0	0	0	0	0	0	0	17
Canistrum.cyathiforme	0	0	0	0	0	0	0	0	0	0	2	5
Citharexylum.myrianthum	0	66	0	3	0	0	0	0	0	0	0	1
Costus.spirallis	0	0	0	0	0	0	0	0	0	0	9	0
Dahlstedtia.penthaphylla	0	0	0	0	0	0	0	0	0	0	2	1
Dahlstedtia.pinnata	0	0	0	0	0	0	0	0	0	1	12	4
Dyssochroma.viridifolia	0	0	0	0	0	0	0	0	0	0	4	3
Edmundoa.lindenii	0	0	0	0	0	0	0	0	0	0	2	0
Elleanthus.brasiliensis	0	0	0	0	0	0	0	0	0	0	0	1
Fuchsia.regia	0	0	0	0	1	0	1	0	0	9	2	13
Heliconia.sp	1	1	0	0	0	1	0	0	0	5	5	1
Hillia.ilustris	0	0	0	0	0	0	0	0	0	0	2	0
Inga.edulis	0	0	0	0	0	0	0	0	0	0	0	7
Justicia.sp	0	0	0	0	0	0	0	0	1	0	7	0
Mendoncia.velloziana	0	0	0	0	0	0	0	0	0	4	0	39
Musa.ornata	0	0	1	0	0	1	0	0	0	1	22	1
Nematanthus.gregarius	1	0	0	0	0	0	0	0	0	0	0	6
Nematanthus.striatus	0	0	0	0	0	1	0	0	0	11	10	4
Nidularium.krisgreeniae	0	0	0	0	0	0	0	0	0	9	17	1
Psittacanthus.dichrous	0	0	0	0	0	0	0	0	0	0	0	7
Schwartzia.brasiliensis	0	0	0	0	0	1	0	0	0	0	3	3
Sinningia.sp	0	0	0	0	0	0	0	0	0	5	0	0
Spirotheca.rivieri	0	2	0	0	0	0	0	3	0	0	15	29
Tillandsia.stricta	0	0	0	0	0	0	0	0	0	0	0	2
Vriesea.ensiformis	0	0	0	0	0	0	0	0	0	0	18	0
Vriesea.phillipocoburguii	0	1	0	0	0	0	0	0	0	2	5	8
Vriesea.platylema	0	0	0	0	0	0	0	0	0	3	1	0
Vriesea.rodigasiana	0	0	0	0	0	0	0	0	0	0	13	17
Vriesea.vagans	0	0	0	0	0	0	0	0	0	0	1	1
