Amazilia.lactea	Anopetia.gounellei	Chlorostilbon.lucidus	Chrysolampis.mosquitus	Colibri.serrirostris	Eupetomena.macroura	Phaethornis.pretrei
Alstroemeria.rupestris	0	0	0	0	0	0	88
Anisacanthus.brasiliensis	210	10	218	0	0	0	127
Augusta.longifolia	0	0	0	0	0	0	27
Bauhinia.longifolia	0	0	20	0	0	0	22
Bignoniaceae.sp1	90	3	0	114	0	0	0
Centropogon.cornutus	0	0	0	0	0	0	110
Chaetocalyx.subulatus	0	0	18	0	0	0	0
Cordia.superba	7	0	7	0	0	0	7
Dasyphyllum.candolleanum	0	0	4	0	0	0	0
Helicteres.eichleri	4	0	3	9	0	0	3
Helicteres.velutina	63	14	186	21	2	0	56
Hyptis.leptostachys	13	0	124	0	0	0	0
Jacquemontia.sp1	4	0	1	0	0	0	0
Jacquemontia.sp2	19	0	0	0	0	0	0
Lafoensia.glyptocarpa	0	0	11	0	0	0	0
Lantana.camara	0	0	7	0	0	0	0
Mandevilla.scabra	0	0	0	0	0	0	6
Orthophytum.lemei	0	0	51	0	0	0	11
Passiflora.edmundoi	0	0	2	0	0	0	19
Pavonia.sp	191	76	10	1	0	0	21
Periandra.coccinea	0	0	11	0	0	0	20
Piriadacus.erubescens	6	6	0	1	0	0	4
Pleonotoma.cf.melioides	0	0	4	0	0	0	0
Prestonia.coalita	87	1	66	3	0	0	0
Pyrostegia.venusta	3	4	0	1	0	12	20
Ruellia.sp1	0	0	10	30	0	0	83
Serjania.coradinii	0	4	64	0	0	0	3
Setilobus.simplicifolius	26	21	11	20	7	2	10
Stachitarpheta.quadrangula	0	0	2	0	0	0	0
