Anopetia.gounellei	Calliphlox.amethystina	Chlorostilbon.lucidus	Chrysolampis.mosquitus	Colibri.serrirostris	Eupetomena.macroura	Heliactin.bilophus	Phaethornis.pretrei
Bionia.coriacea	0	0	2	0	5	0	0	1
Calliandra.sessillis	110	0	0	0	0	0	1	0
Calliandra.sincorana	0	0	0	0	4	0	6	0
Dyckia.dissitiflora	0	0	0	0	0	0	24	0
Lipia.sp	0	0	0	0	0	0	5	0
Lychnophora.rosmarinifolia	0	0	8	0	0	0	16	0
Lychnophora.salicifolia	70	4	65	2	48	0	52	0
Manetia.cordifolia	6	0	0	0	0	0	24	1
Ruellia.sp2	0	0	20	0	24	0	0	0
Sida.cordifolia	0	0	0	0	0	0	18	0
Zeyheria.montana	0	0	0	0	271	13	2	0
